10,2,97,1,1,0,6,50,1,1,8,5,0,1,0,0,2,,,4,1////,,kA
59,1,97,1,1,0,8,20,0,3,0,0,2,8,2,0,2,,,1,811//,,B:08
4,1,97,1,1,0,8,25,0,6,0,0,0,8,1,3,2,,0,8,86//,,-15°C
4,1,97,1,1,0,8,45,0,3,0,0,0,9,1,3,2,,0,8,9//2,,1.)
59,1,97,1,1,0,8,55,0,1,0,0,2,9,1,0,2,,,1,9//2,,B:08
4,1,97,1,1,0,9,10,0,0,0,0,0,1,1,4,1,,0,8,1////,,-14°C
4,1,97,1,1,0,9,10,0,4,0,0,0,9,1,0,2,,0,8,9//20,,2.)
4,1,97,1,1,0,10,27,2,1,4,5,0,1,0,4,1,,,8,1////,b/f,kA
4,1,97,1,1,0,10,37,2,1,4,5,0,4,1,4,2,,,8,4////,,kA
2,1,97,1,1,0,12,40,2,5,3,3,8,1,0,1,1,,,8,1////,c-d-e,
53,1,97,1,2,0,8,20,2,6,8,7,0,8,1,0,2,,,17,84//,,kE
53,1,97,1,2,0,9,0,2,0,8,7,0,1,1,1,1,,,17,1////,c-d-e,
53,1,97,1,2,0,9,20,2,1,8,7,0,4,0,1,1,,,17,4////,,kA
53,1,97,1,2,0,9,30,2,,8,7,0,9,0,0,2,,,17,9//2,,kE
53,1,97,1,2,0,12,0,0,,0,0,,1,1,0,1,,,17,1////,g-h-a,kA
59,1,97,1,2,1,12,0,2,9,8,3,8,1,0,3,1,,,10,1////,b-c-d-e-f,kA
4,1,97,1,2,2,12,10,1,0,6,1,0,2,1,0,1,,,8,2////,,kA
4,1,97,1,2,2,12,15,1,0,6,1,0,3,1,4,2,,,8,3////,,kA
29,1,97,1,2,0,12,40,2,11,7,3,0,1,1,1,1,,,8,1////,b-c-d-e-f,kA
51,1,97,1,2,0,12,55,1,9,7,5,0,1,1,1,1,,,8,1////,b-c-d-e-f-g,
2,1,97,1,2,0,13,0,2,7,4,3,0,1,0,1,1,,,8,1////,d-e,
9,1,97,1,2,0,13,10,0,4,6,5,7,1,0,4,1,,,8,1////,b-c-d-e-f,schwach
38,1,97,1,2,0,13,10,1,4,8,5,0,1,1,1,1,,,8,1////,b-c-d-e-f,
51,1,97,1,2,0,13,45,1,2,7,5,0,3,1,1,2,,,8,3////,,
44,1,97,1,2,0,15,5,2,0,1,3,0,2,0,1,1,,,4,2////,,kA
10,2,97,1,3,0,2,20,2,1,4,1,0,8,1,0,1,,,4,81//,,
58,2,97,1,3,2,4,10,0,9,7,5,8,1,0,0,1,1,,2,1////,a-b-c-d-e-f-g,kA
58,2,97,1,3,2,4,10,0,6,7,5,8,4,1,0,,1,,2,4////,,kA
58,2,97,1,3,2,4,10,0,3,7,5,8,5,1,0,,1,,2,5////,,kA
1,2,97,1,3,0,5,0,1,1,6,1,0,1,1,0,1,1,10,4,1////,c-d-e,kA
10,2,97,1,3,0,5,20,1,2,6,1,0,1,1,0,1,,,4,1////,b-c-d-e-f,
53,1,97,1,3,0,9,0,2,6,,,,2,1,1,1,,,17,2////,,kE
58,1,97,1,3,2,9,20,2,2,7,5,9,3,1,3,,1,,2,3////,,
58,1,97,1,3,2,9,45,2,1,7,5,9,1,0,0,1,1,,2,1////,b-c,
58,1,97,1,3,2,9,45,2,1,7,5,9,2,1,3,,1,,2,2////,,
53,1,97,1,3,0,10,0,2,8,,,,1,1,1,1,,,17,1////,d,kE
53,1,97,1,3,0,11,15,2,,,,,3,1,1,1,,,17,3////,,kA
53,1,97,1,3,0,11,15,2,5,,,,11,0,1,1,,,17,11////,,kA
59,1,97,1,3,0,12,0,1,6,6,3,0,1,0,0,1,1,,1,1////,b-c-d-e-f,B:2
59,1,97,1,3,0,12,0,1,20,7,3,0,4,2,4,2,1,,1,4////,,B:2
10,1,97,1,3,0,12,20,1,5,8,5,0,1,2,1,1,,,4,1////,b-c-d-e-f,
38,1,97,1,3,0,12,30,0,1,0,0,5,11,1,1,1,,0,8,11////,,Polarschnee
51,1,97,1,3,0,12,30,0,1,0,0,5,11,0,1,1,,0,8,11////,,in Eiskristallen
4,1,97,1,3,2,13,57,1,0,2,3,2,2,1,4,1,,,8,2////,,kA
