9,1,89,1,5,2,10,0,0,3,8,5,8,1,1,4,,,,8,/////,b-c-d-e,
9,1,89,1,5,2,10,0,0,3,8,5,8,3,1,4,1,,,8,/////,,
9,1,89,1,5,2,10,15,0,1,8,5,8,11,0,1,,,,8,/////,,ca.25%d.R.
7,1,89,1,5,2,11,30,1,1,4,1,0,1,0,4,1,,,7,/////,d-e-f,
29,1,89,1,5,2,13,20,2,2,8,3,7,1,0,1,1,2,5,8,/////,c-d-e,
43,1,89,1,5,2,13,30,1,2,8,1,0,1,1,1,1,,1,8,/////,b-c-d-e-f,
17,1,89,1,6,0,10,15,2,2,8,3,0,2,1,1,1,,,8,/////,,
17,1,89,1,6,0,10,15,2,2,8,3,0,3,1,1,1,,,8,/////,,
17,1,89,1,11,0,8,0,1,,6,5,2,8,1,0,,,,8,/////,,
10,1,89,1,12,0,7,40,1,3,8,3,0,8,2,4,2,3,,4,/////,,
6,1,89,1,12,1,7,50,1,7,2,3,8,8,2,3,2,2,15,4,/////,,mit Theodo
43,1,89,1,12,2,8,30,0,3,0,0,0,8,2,1,,,,8,/////,,Eisnadeln
17,1,89,1,12,0,11,0,1,4,4,5,3,1,1,1,1,,,8,/////,b-c-d-e-f,
17,1,89,1,12,0,11,0,1,5,4,5,3,2,2,2,1,,,8,/////,,
17,1,89,1,12,0,11,0,1,4,4,5,3,3,1,1,1,,,8,/////,,
17,1,89,1,12,0,11,0,1,4,4,5,3,5,2,1,,,,8,/////,,
15,1,89,1,13,2,11,0,1,3,8,3,7,1,1,3,,,,4,/////,b-c-d-e,
25,1,89,1,14,1,8,15,1,1,8,5,7,5,1,1,1,1,9,4,/////,,
38,1,89,1,14,1,8,15,1,1,8,5,7,5,1,1,1,,,4,/////,,
16,1,89,1,14,0,8,45,0,0,4,5,0,1,0,0,,,,8,/////,,
16,1,89,1,14,0,8,45,0,0,4,5,0,5,2,1,,,,8,/////,,
25,1,89,1,14,1,8,45,1,2,8,5,7,8,2,0,1,1,9,4,/////,,Cottbus
38,1,89,1,14,1,8,45,1,1,8,5,7,8,0,2,,,,4,/////,,Potsdam
15,1,89,1,14,2,8,50,1,17,5,3,2,1,1,3,,,,4,/////,b-c-d-e-f,
15,1,89,1,14,2,8,50,1,17,5,3,2,5,1,3,,,,4,/////,,
39,1,89,1,14,0,9,15,1,3,8,5,0,1,2,1,1,,,4,/////,,
39,1,89,1,14,0,9,15,1,3,8,5,0,5,1,1,1,,,4,/////,,
25,1,89,1,14,1,9,20,1,1,8,5,7,1,1,1,1,1,9,4,/////,b,
43,1,89,1,14,2,9,20,1,2,8,5,0,5,1,1,,,,8,/////,,
10,1,89,1,14,0,9,25,1,4,6,5,0,1,1,1,1,1,,4,/////,c-d-e,
16,1,89,1,14,0,9,30,0,0,4,5,0,2,1,1,,,,8,/////,,
25,1,89,1,14,1,9,35,1,0,8,5,7,3,1,1,1,1,9,4,/////,,o.Ende
38,1,89,1,14,1,9,35,1,1,8,5,7,3,0,1,1,,7,4,/////,,Potsdam
10,1,89,1,14,0,9,40,1,2,6,5,0,3,1,1,1,1,,4,/////,,
27,1,89,1,14,0,9,45,1,1,4,1,8,1,0,1,1,2,8,8,/////,c,
38,1,89,1,14,1,10,0,1,2,8,5,7,1,1,1,1,,7,4,/////,d,Potsdam
15,1,89,1,14,2,10,10,1,10,5,3,2,2,2,3,,,,4,/////,,
33,1,89,1,14,2,10,45,1,4,6,4,0,1,1,4,1,,,8,/////,,
2,1,89,1,14,0,11,0,1,2,3,5,2,1,0,1,1,2,6,8,/////,c-d-e,
33,1,89,1,14,2,11,10,1,1,6,4,0,3,1,1,2,,,8,/////,,
33,1,89,1,14,2,11,20,1,0,6,4,0,2,0,4,1,,,8,/////,,
43,1,89,1,15,2,7,40,1,2,6,3,7,8,2,1,,1,,8,/////,,
6,1,89,1,15,1,7,55,1,2,6,3,8,8,2,4,2,1,,4,/////,,
43,1,89,1,15,2,8,35,1,15,8,3,7,1,2,1,1,1,,8,/////,b-c-d-e-f,
43,1,89,1,15,2,8,35,1,7,8,3,7,3,2,1,,1,,8,/////,,
43,1,89,1,15,2,8,35,1,1,8,3,7,11,1,1,1,1,,8,/////,,
6,1,89,1,15,1,8,40,1,42,7,3,0,1,1,1,1,1,,4,/////,c-d-e,
10,1,89,1,15,0,8,40,1,2,8,5,8,1,1,1,1,4,,4,/////,d,
25,1,89,1,15,1,8,40,1,6,8,5,7,1,1,1,1,,,4,/////,b-c-d-e,
25,1,89,1,15,1,8,40,1,1,8,5,7,5,0,1,1,,,4,/////,,
38,1,89,1,15,1,8,40,1,1,8,3,8,1,0,1,1,,,4,/////,c-d-e,Potsdam
38,1,89,1,15,1,8,40,1,1,8,3,8,5,0,1,1,,,4,/////,,Potsdam
44,1,89,1,15,0,8,50,2,1,6,3,0,1,0,0,1,,,4,/////,c-d-e,
44,1,89,1,15,0,8,50,2,3,6,3,0,5,2,0,1,,,4,/////,,
39,1,89,1,15,0,9,0,1,1,,,,1,0,0,1,,,4,/////,,
39,1,89,1,15,0,9,0,1,3,,,,2,1,1,1,,,4,/////,,
26,1,89,1,15,0,9,5,2,1,8,1,0,1,1,1,1,,,8,/////,c-d,
43,1,89,1,15,2,9,10,1,1,8,3,7,12,1,1,1,1,,8,/////,c-d-e,
2,1,89,1,15,0,9,30,2,18,3,5,9,1,0,1,1,4,,8,/////,,
2,1,89,1,15,0,9,30,2,18,3,5,9,3,1,1,1,4,,8,/////,,
25,1,89,1,15,1,9,35,1,2,8,5,7,3,1,1,1,,,4,/////,,
38,1,89,1,15,1,9,35,1,2,8,3,8,3,0,1,1,,,4,/////,,Potsdam
27,1,89,1,15,0,9,40,0,,4,1,5,1,0,1,1,1,,8,/////,b-c-d-e-f,o.Ende
27,1,89,1,15,0,9,40,0,,4,1,5,3,1,1,1,1,,8,/////,,o.Ende
33,1,89,1,15,2,9,40,1,,6,5,0,1,1,4,1,,,8,/////,,
15,1,89,1,15,2,10,0,1,12,8,1,7,1,1,3,,,,4,/////,b-c-d-e-f,
15,1,89,1,15,2,10,0,1,12,8,1,7,2,0,3,,,,4,/////,,
15,1,89,1,15,2,10,0,1,12,8,1,7,3,0,3,,,,4,/////,,
15,1,89,1,15,2,10,0,1,12,8,1,7,5,1,1,,,,4,/////,,
4,1,89,1,15,0,10,5,2,3,7,5,7,1,1,4,1,1,,8,/////,b-c-d-e-f,
4,1,89,1,15,0,10,5,2,1,7,5,7,4,1,1,1,1,,8,/////,,
33,1,89,1,15,2,11,50,2,0,,3,9,3,0,0,2,,,8,/////,,
33,1,89,1,15,2,12,5,2,6,,3,9,1,0,4,1,,,8,/////,,
