53,1,1,1,1,0,8,15,6,5,0,0,1,9,1,0,2,,,17,/////,,kE/d�nner Bodennebel (mit Eisnebel)an M�hl
58,1,1,1,1,0,8,15,7,2,0,0,9,8,2,4,1,3,2,2,/////,,
58,1,1,1,1,0,8,20,7,0,0,0,9,5,1,4,2,3,2,2,/////,,"""V"" im innern leicht gr�nlich"
4,1,1,1,1,0,8,34,1,3,7,5,7,5,1,1,1,1,,8,/////,,
62,1,1,1,1,1,8,50,1,0,,,,1,2,0,1,,,8,/////,c-d-e,kA kE Chemnitz
63,1,1,1,1,2,8,50,1,24,7,5,8,1,1,4,1,3,6,8,/////,b-c-d-e-f,
4,1,1,1,1,0,9,0,2,1,7,5,7,1,0,4,1,1,,8,/////,d-e-f,
38,1,1,1,1,0,9,0,1,1,9,5,,1,1,4,1,1,11,8,/////,d-e,
38,1,1,1,1,0,9,0,1,2,9,5,,3,1,1,2,1,11,8,/////,,
53,1,1,1,1,0,9,5,5,,0,0,0,1,0,,1,,,17,/////,g-h-a,kA/kE/Neuschnee bzw. Reif auf Schneedecke
4,1,1,1,1,0,9,30,2,1,7,5,7,1,0,4,1,1,4,8,/////,d,
2,1,1,1,1,0,10,0,1,,4,5,8,1,1,1,1,,,8,/////,b-c,kA
4,1,1,1,1,0,10,20,2,1,7,5,7,1,1,4,1,1,3,8,/////,c-d-e,
29,1,1,1,1,0,11,0,1,2,6,3,8,1,1,1,1,1,9,8,/////,c-d-e,
53,1,1,1,1,0,11,0,1,27,7,7,9,2,1,1,1,,,17,/////,,UB/UH
29,1,1,1,1,0,11,5,1,1,6,3,8,2,1,1,1,1,9,8,/////,,
29,1,1,1,1,0,11,5,1,1,6,3,8,11,0,1,1,1,9,8,/////,,
53,1,1,1,1,0,11,5,1,12,7,7,0,1,1,1,1,,,17,/////,b-c-d-e,kE
53,1,1,1,1,0,11,5,1,24,7,7,9,3,1,1,1,,,17,/////,,kE/UB
4,1,1,1,1,0,11,10,1,2,6,5,0,1,1,4,1,1,3,8,/////,c-d-e-f,
38,1,1,1,1,0,11,10,1,1,9,1,8,2,1,1,1,1,9,8,/////,,
51,1,1,1,1,0,11,10,1,1,9,1,8,2,1,1,1,1,9,8,/////,,
43,1,1,1,1,0,11,30,1,3,3,5,7,1,1,1,1,,,8,/////,b-c-d,
43,1,1,1,1,0,11,30,1,3,3,5,7,2,1,1,,,,8,/////,,
38,1,1,1,1,0,11,55,1,3,6,5,8,1,0,4,1,1,8,8,/////,b-c-d-e-f,
51,1,1,1,1,0,11,55,1,3,6,5,8,1,0,4,1,1,8,8,/////,b-c-d-e-f,
53,1,1,1,1,0,12,15,1,,7,7,0,12,0,1,1,,,17,/////,d,kE
4,1,1,1,1,0,12,20,1,1,6,5,0,1,0,4,1,1,2,8,/////,d-e-f,
53,1,1,1,1,0,15,30,1,,7,7,9,5,1,1,1,,,17,/////,,kE
