53,1,1,1,1,0,8,15,6,5,0,0,1,9,1,0,2,,,17,9//22,,kE/dünner Bodennebel (mit Eisnebel)an Mühl
58,1,1,1,1,0,8,15,7,2,0,0,9,8,2,4,1,3,2,2,815//,,
58,1,1,1,1,0,8,20,7,0,0,0,9,5,1,4,2,3,2,2,5////,,"""V"" im innern leicht grünlich"
4,1,1,1,1,0,8,34,1,3,7,5,7,5,1,1,1,1,,8,5////,,
62,1,1,1,1,1,8,50,1,0,,,,1,2,0,1,,,8,1////,c-d-e,kA kE Chemnitz
63,1,1,1,1,2,8,50,1,24,7,5,8,1,1,4,1,3,6,8,1////,b-c-d-e-f,
4,1,1,1,1,0,9,0,2,1,7,5,7,1,0,4,1,1,,8,1////,d-e-f,
38,1,1,1,1,0,9,0,1,1,9,5,,1,1,4,1,1,11,8,1////,d-e,
38,1,1,1,1,0,9,0,1,2,9,5,,3,1,1,2,1,11,8,3////,,
53,1,1,1,1,0,9,5,5,,0,0,0,1,0,,1,,,17,1////,g-h-a,kA/kE/Neuschnee bzw. Reif auf Schneedecke
4,1,1,1,1,0,9,30,2,1,7,5,7,1,0,4,1,1,4,8,1////,d,
2,1,1,1,1,0,10,0,1,,4,5,8,1,1,1,1,,,8,1////,b-c,kA
4,1,1,1,1,0,10,20,2,1,7,5,7,1,1,4,1,1,3,8,1////,c-d-e,
29,1,1,1,1,0,11,0,1,2,6,3,8,1,1,1,1,1,9,8,1////,c-d-e,
53,1,1,1,1,0,11,0,1,27,7,7,9,2,1,1,1,,,17,2////,,UB/UH
29,1,1,1,1,0,11,5,1,1,6,3,8,2,1,1,1,1,9,8,2////,,
29,1,1,1,1,0,11,5,1,1,6,3,8,11,0,1,1,1,9,8,11////,,
53,1,1,1,1,0,11,5,1,12,7,7,0,1,1,1,1,,,17,1////,b-c-d-e,kE
53,1,1,1,1,0,11,5,1,24,7,7,9,3,1,1,1,,,17,3////,,kE/UB
4,1,1,1,1,0,11,10,1,2,6,5,0,1,1,4,1,1,3,8,1////,c-d-e-f,
38,1,1,1,1,0,11,10,1,1,9,1,8,2,1,1,1,1,9,8,2////,,
51,1,1,1,1,0,11,10,1,1,9,1,8,2,1,1,1,1,9,8,2////,,
43,1,1,1,1,0,11,30,1,3,3,5,7,1,1,1,1,,,8,1////,b-c-d,
43,1,1,1,1,0,11,30,1,3,3,5,7,2,1,1,,,,8,2////,,
38,1,1,1,1,0,11,55,1,3,6,5,8,1,0,4,1,1,8,8,1////,b-c-d-e-f,
51,1,1,1,1,0,11,55,1,3,6,5,8,1,0,4,1,1,8,8,1////,b-c-d-e-f,
53,1,1,1,1,0,12,15,1,,7,7,0,12,0,1,1,,,17,12////,d,kE
4,1,1,1,1,0,12,20,1,1,6,5,0,1,0,4,1,1,2,8,1////,d-e-f,
53,1,1,1,1,0,15,30,1,,7,7,9,5,1,1,1,,,17,5////,,kE
53,1,1,1,2,0,8,15,1,3,4,7,8,8,1,3,2,,,17,83//,,kA/kE/EE breit!
61,1,1,1,2,0,9,50,1,3,5,5,5,2,1,1,1,,,11,2////,,
53,1,1,1,2,0,9,55,1,20,3,7,8,2,1,1,1,,,17,2////,,kA/UH/UB
53,1,1,1,2,0,9,55,1,20,3,7,8,3,1,1,1,,,17,3////,,kA/UH/UB
13,1,1,1,2,0,12,45,1,1,4,4,2,1,1,1,1,,6,5,1////,c-d-e,
4,1,1,1,3,2,8,25,1,0,8,5,4,1,1,4,1,1,0,8,1////,c-d-e-f,
4,1,1,1,3,2,9,5,1,0,8,5,2,1,0,4,1,1,4,8,1////,e-f,
2,1,1,1,3,0,9,15,2,3,3,5,8,1,1,1,1,,,8,1////,b-c-d,
9,1,1,1,3,2,9,30,1,6,4,5,9,1,0,1,1,,,8,1////,c-d-e,UH
38,1,1,1,3,0,10,15,1,1,6,1,,1,1,4,1,,,8,1////,c-d-e,
92,1,1,1,3,0,10,45,1,3,9,7,7,1,2,1,1,,5,35,1////,c-d-e,kA
92,1,1,1,3,0,10,45,1,5,9,7,7,2,2,1,,,5,35,2////,,kA
