38,1,95,1,2,0,12,5,1,1,5,3,5,1,1,1,1,,,8,/////,c-d-e-f,
38,1,95,1,2,0,12,5,1,1,5,3,5,11,0,1,1,,,8,/////,,
51,1,95,1,2,0,14,20,1,1,2,1,6,3,1,1,1,4,1,8,/////,,6'
51,1,95,1,2,0,14,25,1,1,2,1,6,1,1,0,1,4,1,8,/////,d-e-f,
50,1,95,1,2,1,15,55,0,1,0,0,5,3,2,1,2,,,29,/////,,Franz. Alpen
10,1,95,1,3,0,15,45,1,1,4,2,8,2,2,1,2,,,4,/////,,
43,1,95,1,4,2,9,20,0,6,0,0,5,8,2,0,,,,8,/////,,
4,5,95,1,5,2,6,30,0,2,0,0,0,8,2,0,2,0,0,8,/////,,
4,1,95,1,5,2,9,30,0,2,0,0,0,8,2,3,2,0,0,8,/////,,
51,1,95,1,5,0,10,0,0,19,8,3,0,1,0,4,1,4,46,8,/////,a-b-c-d-e-f-g,Satellitenbild
22,1,95,1,5,0,13,5,1,1,1,1,,2,2,1,2,,,5,/////,,
43,1,95,1,5,2,15,20,1,2,2,1,0,2,1,1,,,,8,/////,,
43,1,95,1,5,2,15,20,1,2,2,1,0,8,1,0,,,,8,/////,,
29,1,95,1,5,0,15,40,1,2,6,3,0,8,1,3,2,,,8,/////,,
29,1,95,1,5,0,15,45,1,1,6,3,0,1,0,1,1,,,8,/////,d,
10,1,95,1,6,0,9,45,0,1,0,0,5,1,2,1,1,,,4,/////,b,"""fliegende Eiskristalle"""
10,1,95,1,6,0,9,45,0,1,0,0,5,2,2,1,2,,,4,/////,,"""fliegende Eiskristalle"""
51,1,95,1,6,0,9,50,0,8,8,3,0,1,0,4,1,4,23,8,/////,a-b-c-d-e-f-g,Satellitenbild
50,1,95,1,6,1,11,10,0,,0,0,,1,1,1,1,,0,29,/////,c-d-e,kA
20,1,95,1,6,0,12,55,0,13,6,5,7,1,1,1,1,3,4,9,/////,b-c-d-e-f,kA
20,1,95,1,6,0,12,55,0,9,6,5,7,2,1,1,2,3,4,9,/////,,kA
20,1,95,1,6,0,12,55,0,6,6,5,7,3,0,1,1,3,4,9,/////,,kA
20,1,95,1,6,0,12,55,0,6,6,5,7,5,1,1,1,,,9,/////,,kA
50,1,95,1,7,1,11,50,1,1,1,1,0,3,0,1,2,,,29,/////,,Franz. Alpen
23,1,95,1,8,2,12,30,1,0,6,2,0,3,1,1,,,12,6,/////,,
23,1,95,1,8,2,13,10,1,2,3,2,0,1,0,1,1,,11,6,/////,c-d-e,
10,1,95,1,8,1,14,45,2,3,8,7,7,2,1,1,1,1,,1,/////,,Kreis Güstrow-Süden
10,1,95,1,8,1,14,45,2,2,8,7,7,8,2,3,2,1,,1,/////,,Kreis Güstrow-Süden
46,1,95,1,8,0,15,0,1,2,6,6,7,3,1,1,2,1,,8,/////,,kE
22,1,95,1,8,0,15,25,1,1,1,4,9,5,2,4,2,3,2,5,/////,,
34,1,95,1,10,1,10,15,1,1,9,7,2,1,1,1,1,,,5,/////,b,Bochum
23,1,95,1,10,0,11,50,1,1,6,4,5,2,1,1,,,,10,/////,,
43,2,95,1,11,0,18,10,1,2,5,5,8,1,0,1,1,,,8,/////,b-c-d-e-f,
23,1,95,1,12,0,16,40,0,1,0,0,0,8,2,0,,,,10,/////,,
8,1,95,1,15,0,14,20,2,2,7,5,8,2,1,4,2,,,2,/////,,kA
43,2,95,1,16,0,6,0,0,2,0,0,8,8,1,0,,,,8,/////,,Eisnebel
20,1,95,1,17,2,14,0,1,2,1,1,8,2,1,1,1,2,,9,/////,,
22,2,95,1,17,0,20,0,1,7,6,5,,1,2,4,1,,,5,/////,b-c-d-e-f,kA
23,2,95,1,18,0,3,50,2,,8,2,0,1,0,0,2,,7,10,/////,,kA
51,2,95,1,18,0,7,0,1,1,5,1,0,5,0,0,1,2,,8,/////,,7'
29,1,95,1,18,0,9,35,1,2,5,1,0,1,1,1,1,1,22,8,/////,c-d-e,
2,1,95,1,18,0,11,0,2,10,4,3,9,1,0,1,1,,,8,/////,c-d-e,
51,1,95,1,18,0,11,45,2,9,7,5,8,3,0,0,1,2,,8,/////,,
51,1,95,1,18,0,11,55,2,8,7,5,8,1,0,4,1,2,,8,/////,,
38,1,95,1,18,0,12,0,1,2,8,5,0,1,0,4,1,2,18,8,/////,c-d-e-f,
9,1,95,1,18,0,12,5,1,5,6,1,7,1,1,4,1,1,16,8,/////,b-c-d-e-f,UH
51,1,95,1,18,0,12,10,2,7,7,5,8,5,1,1,1,2,,8,/////,,
51,1,95,1,18,0,12,35,2,5,7,5,8,2,0,0,1,2,,8,/////,,
44,1,95,1,18,2,13,0,2,1,,,7,2,1,0,1,,,8,/////,,kE
44,1,95,1,18,2,13,5,2,0,,,7,1,0,0,1,,,8,/////,b-c-d-e-f,kE
44,1,95,1,18,2,14,35,2,0,8,3,7,3,0,0,1,,,8,/////,,kA
51,1,95,1,18,0,15,10,1,2,7,5,9,3,2,1,2,2,,8,/////,,
29,1,95,1,18,0,15,40,2,2,8,3,0,1,1,1,1,1,16,8,/////,b-c-d-e-f,
51,1,95,1,18,0,15,40,1,1,7,5,9,8,2,3,2,2,,8,/////,,
10,2,95,1,18,0,20,5,2,3,8,5,7,1,0,0,1,1,10,4,/////,c-d-e,kE
29,2,95,1,18,0,20,30,1,3,8,3,0,1,2,0,1,1,11,8,/////,c-d-e,
29,2,95,1,18,0,20,30,1,2,8,3,0,2,2,0,1,1,11,8,/////,,
22,1,95,1,19,0,16,25,1,1,3,3,,8,1,0,,3,2,5,/////,,
22,1,95,1,19,0,16,30,1,0,3,3,,1,1,0,1,3,2,5,/////,c-d-e,
22,1,95,1,19,0,16,35,1,1,3,3,,5,1,4,2,3,2,5,/////,,
29,2,95,1,19,0,19,40,2,1,8,3,0,8,1,0,2,1,12,8,/////,,
9,2,95,1,20,0,6,30,1,3,,3,0,1,0,0,1,,,8,/////,a-b-c-d,kA
2,1,95,1,20,0,8,0,2,18,3,3,9,1,0,1,1,,,8,/////,c-d-e,UH
9,1,95,1,20,0,8,45,1,2,8,1,7,1,0,4,1,,,8,/////,d-e-f,
44,1,95,1,20,2,10,15,0,0,,,7,1,0,0,1,,,8,/////,c-d-e,kA
38,1,95,1,20,0,10,25,2,3,8,5,0,1,0,4,1,3,12,8,/////,b-c-d-e-f,
10,1,95,1,20,0,11,15,2,4,8,5,8,2,1,0,1,1,,4,/////,,UB
29,1,95,1,20,0,15,30,2,2,,3,7,1,1,1,1,1,9,8,/////,c-d-e,
9,1,95,1,21,1,9,45,1,1,8,1,7,3,1,1,1,,,8,/////,,struktuiert
9,1,95,1,21,1,10,0,1,1,8,1,7,1,0,4,1,,,8,/////,c-d-e,Sayda
9,1,95,1,21,1,10,15,1,0,8,1,7,2,0,4,1,,,8,/////,,5'
29,1,95,1,21,1,10,30,1,1,8,3,7,3,0,2,1,1,24,8,/////,,Bastei
